Region,Community,Population,Lat,Lon
British Columbia,Ashcroft,1670,50.721,-121.28
British Columbia,Burns Lake,1659,54.2314,-125.76
British Columbia,Musqueam,1646,49.2298,-123.2
British Columbia,Keremeos,1608,49.2064,-119.826
British Columbia,Nakusp,1589,50.2418,-117.799
Yukon,Dawson,1577,64.0625,-139.431
British Columbia,Telkwa,1474,54.6972,-127.05
British Columbia,Osoyoos,1426,49.0311,-119.465
British Columbia,Lions Bay,1390,49.4591,-123.236
British Columbia,Fort St. James,1386,54.4487,-124.256
British Columbia,Radium Hot Springs,1339,50.623,-116.08
British Columbia,Taylor,1317,56.1544,-120.68
British Columbia,Gold River,1246,49.7807,-126.052
British Columbia,Mount Currie,1242,50.3249,-122.656
British Columbia,Bella Bella,1193,52.1639,-128.144
British Columbia,Salmo,1140,49.1916,-117.277
Yukon,Watson Lake,1133,60.0639,-128.706
Northwest Territories,Fort Simpson,1100,61.8609,-121.3527
British Columbia,Valemount,1052,52.8305,-119.265
British Columbia,Kaslo,1049,49.9086,-116.911
British Columbia,Montrose,1013,49.0788,-117.591
British Columbia,Cache Creek,969,50.8119,-121.323
British Columbia,Fraser Lake,965,54.0583,-124.847
Northwest Territories,Tuktoyaktuk,937,69.4509,-133.0358
British Columbia,Bella Coola,937,52.3706,-126.752
British Columbia,Hudson's Hope,841,56.0319,-121.907
British Columbia,Masset,838,54.0174,-132.147
British Columbia,Canal Flats,802,50.1576,-115.817
British Columbia,Seabird Island,800,49.2542,-121.731
British Columbia,Sliammon,797,49.8962,-124.601
Yukon,Marsh Lake,746,60.5193,-134.332
British Columbia,Port Alice,739,50.3833,-127.45
British Columbia,Greenwood,702,49.0949,-118.676
British Columbia,Skidegate,697,53.2715,-131.988
Yukon,Haines Junction,688,60.7559,-137.504
British Columbia,Belcarra,687,49.3182,-122.928
Northwest Territories,Norman Wells,673,65.2811,-126.8316
British Columbia,Midway,651,49.0071,-118.773
Northwest Territories,Fort McPherson,647,67.4365,-134.8833
British Columbia,Lax Kw'alaams,627,54.55,-130.433
Northwest Territories,Fort Providence,618,61.3552,-117.6542
British Columbia,New Hazelton,602,55.2466,-127.586
Yukon,Carmacks,588,62.0888,-136.284
British Columbia,McBride,588,53.3,-120.167
British Columbia,Kispiox,578,55.3503,-127.691
Northwest Territories,Déline,573,65.1897,-123.4244
British Columbia,Mission,570,49.1376,-122.304
British Columbia,Clinton,568,51.0942,-121.587
Northwest Territories,Whatì,543,63.1449,-117.2743
Northwest Territories,Aklavik,536,68.22,-135.0087
British Columbia,Nak'azdli,528,54.4309,-124.248
