Jurisdiction,Community,Type,Population
British Columbia,Nautley (Fort Fraser) 1,IRI,227
British Columbia,Waiwakum 14 5,IRI,224
British Columbia,Becher Bay 1,IRI,221
British Columbia,Kippase 2,IRI,220
British Columbia,Stone 1,IRI,219
British Columbia,Wells,DM,218
British Columbia,Kitasoo 1,IRI,217
British Columbia,Slosh 1 5,IRI,215
British Columbia,Homalco 9,IRI,214
British Columbia,Lytton,VL,210
British Columbia,Switsemalph,IRI,209
British Columbia,Sik-e-dakh 2,IRI,209
British Columbia,Cheam 1,IRI,207
British Columbia,Tsa Xana 18,IRI,205
Northwest Territories,Dettah,SET,192
British Columbia,Inkluckcheen 5,IRI,190
British Columbia,Stellaquo (Stella) 1,IRI,189
Yukon,Mayo,VL,188
British Columbia,Douglas Lake 3,IRI,188
British Columbia,Hagwilget 1,IRI,183
British Columbia,Chawathil 4,IRI,182
British Columbia,Redstone Flat 1,IRI,181
British Columbia,North Thompson 1,IRI,181
British Columbia,Malachan 11,IRI,178
British Columbia,Bulkley River 19,IRI,174
British Columbia,Lakahahmen 11,IRI,170
British Columbia,Nooaitch 10,IRI,170
British Columbia,Malahat 11,IRI,165
British Columbia,Central Coast E,RDA,162
British Columbia,Bonaparte 3,IRI,159
British Columbia,Squiaala,IRI,158
British Columbia,Houpsitas 6,IRI,157
British Columbia,Halalt 2,IRI,156
British Columbia,Nequatque 4,IRI,155
British Columbia,Opitsat 1,IRI,153
British Columbia,Ahahswinis 1,IRI,150
British Columbia,Ohamil 1,IRI,150
British Columbia,Central Coast A,RDA,149
British Columbia,Silverton,VL,149
British Columbia,Columbia Lake 3,IRI,149
British Columbia,Nicola Lake 1,IRI,148
British Columbia,Kootenay 1,IRI,145
British Columbia,Blueberry River 205,IRI,145
British Columbia,Cape Mudge 10,IRI,145
British Columbia,Guhthe Tah 12,IRI,142
Northwest Territories,Tsiigehtchic,CC,138
British Columbia,Squinas 2,IRI,137
Yukon,Upper Liard,SÉ,130
British Columbia,Squawkum Creek 3,IRI,130
British Columbia,Zeballos,VL,126
British Columbia,Esquimalt,IRI,120
British Columbia,Matsqui Main 2,IRI,119
British Columbia,Binche 2,IRI,118
Northwest Territories,Wrigley,SET,117
British Columbia,Ulkatcho 14A,IRI,116
British Columbia,Liard River 3 5,IRI,114
British Columbia,Deep Creek 2,IRI,111
British Columbia,Quaee 7,IRI,111
Northwest Territories,Colville Lake,SET,110
British Columbia,Quesnel 1 5,IRI,110
Northwest Territories,Wekweètì,CG,109
British Columbia,Union Bay 4,IRI,109
British Columbia,Prophet River 4 5,IRI,107
British Columbia,Oyster Bay 12,IRI,105
British Columbia,Seymour Creek 2,IRI,105
Northwest Territories,Sachs Harbour,HAM,104
British Columbia,Anacla 12,IRI,104
British Columbia,Toosey 1,IRI,104
British Columbia,Canoe Creek 2,IRI,104
British Columbia,Nuuautin 2 5,IRI,101
British Columbia,Siska Flat,IRI,101
British Columbia,West Moberly Lake 168A,IRI,99
British Columbia,Stawamus 24,IRI,98
Northwest Territories,Sambaa K’e,SET,97
British Columbia,Marble Canyon 3,IRI,97
British Columbia,Tobacco Plains 2,IRI,96
British Columbia,McMillan Island 6,IRI,96
British Columbia,Cheakamus 11,IRI,95
British Columbia,Nesuch 3,IRI,95
British Columbia,Creston 1,IRI,93
British Columbia,Fountain 1,IRI,93
British Columbia,Palling 1 5,IRI,92
British Columbia,Okanagan (Part) 1,IRI,91
British Columbia,Ehatis 11,IRI,91
British Columbia,Esowista 3,IRI,90
British Columbia,Ye Koo Che 3,IRI,90
British Columbia,Skway 5,IRI,89
British Columbia,Dog Creek 1,IRI,88
British Columbia,Babine 17,IRI,87
British Columbia,Chopaka 7 & 8,IRI,86
British Columbia,Chuchuwayha 2,IRI,86
British Columbia,Doig River 206,IRI,85
British Columbia,Fort George 2,IRI,84
British Columbia,Babine 25,IRI,83
British Columbia,Five Mile Point 3,IRI,83
British Columbia,Tsussie 6,IRI,82
British Columbia,Qualicum,IRI,82
British Columbia,Klickkumcheen 18,IRI,82
Northwest Territories,Nahanni Butte,SET,81
British Columbia,Nazco 20,IRI,81
British Columbia,McLeod Lake 1,IRI,81
British Columbia,Coryatsaqua (Moricetown) 2,IRI,80
British Columbia,Gordon River 2,IRI,79
Yukon,Beaver Creek,SÉ,78
British Columbia,Katit 1,IRI,77
British Columbia,Stullawheets 8,IRI,76
British Columbia,Lower Similkameen 2,IRI,76
Northwest Territories,Enterprise,HAM,75
British Columbia,Babine 6 5,IRI,75
British Columbia,Kitimat-Stikine D 5,RDA,74
British Columbia,Kulspai 6,IRI,73
British Columbia,Semiahmoo,IRI,71
British Columbia,Tlaa Gaa Aawtlaas 28 5,IRI,70
British Columbia,Douglas 8,IRI,66
British Columbia,Kulkayu (Hartley Bay) 4A 5,IRI,66
British Columbia,Cayoosh Creek 1,IRI,66
British Columbia,Nekliptum 1 5,IRI,66
Yukon,Burwash Landing,SÉ,64
British Columbia,Switsemalph 3,IRI,64
Northwest Territories,Jean Marie River,SET,63
British Columbia,Chilhil 6,IRI,63
British Columbia,Fountain 1B,IRI,63
British Columbia,Schkam 2,IRI,62
British Columbia,Lower Hat Creek 2,IRI,61
British Columbia,Tork 7,IRI,60
British Columbia,Kowtain 17,IRI,59
British Columbia,Fort Rupert 1,IRI,58
British Columbia,Ashnola 10,IRI,58
British Columbia,Kulkayu (Hartley Bay) 4,IRI,58
British Columbia,Joeyaska 2,IRI,58
British Columbia,Pashilqua 2,IRI,57
British Columbia,Stryen 9,IRI,57
British Columbia,Whispering Pines 4,IRI,57
British Columbia,Canoe Creek 1,IRI,56
British Columbia,Spuzzum 1,IRI,55
British Columbia,Coquitlam 1,IRI,55
British Columbia,Dease Lake 9,IRI,54
British Columbia,Chum Creek 2,IRI,53
British Columbia,Lukseetsissum 9,IRI,52
British Columbia,Telegraph Creek 5,IRI,51
British Columbia,Q'alatkú7em,IRI,50
British Columbia,Shackan 11,IRI,50
British Columbia,Cheslatta 1,IRI,49
British Columbia,Yakweakwioose 12,IRI,49
British Columbia,Theik 2,IRI,48
British Columbia,Kitimat-Stikine A,RDA,48
British Columbia,Pavilion 1,IRI,48
British Columbia,North Bay 5,IRI,45
British Columbia,Aitchelitch 9,IRI,45
British Columbia,North Coast A,RDA,45
British Columbia,Hustalen 1,IRI,44
British Columbia,Ashcroft 4,IRI,42
British Columbia,Albert Flat 5,IRI,41
British Columbia,Kopchitchin 2,IRI,41
British Columbia,Nicomen 1,IRI,41
Yukon,Destruction Bay,SÉ,40
Northwest Territories,Kakisa,SET,39
British Columbia,Dease River 1 5,IRI,39
British Columbia,Kluskus 1,IRI,38
British Columbia,Gwayasdums 1,IRI,38
Yukon,Carcross 4,SG,37
Northwest Territories,"Region 5, Unorganized",NO,37
British Columbia,Mount Waddington B,RDA,35
British Columbia,Papyum 27,IRI,35
British Columbia,Paul's Basin 2,IRI,35
British Columbia,Nickeyeah 25,IRI,34
British Columbia,Burns Lake 18,IRI,33
British Columbia,Klahkamich 17,IRI,33
